Datum,Tidpunkt ,Provpunkt,Alkalinitet HCO3 mg/l,Nitrat,Konduktivitet Hanna,pH Hanna,Temp (DO),DO mg/l,Syremättnad %,Fosfat PO4 mg/l,Järn ,Kalcium mg/l,Magnesium mg/l,Hårdhet dH
03/28/2024,11:30:00 AM,Fisk,,,154.2,7.18,25.4,6.83,85.1,,,,,
04/03/2024,03:50:00 PM,Fisk,,,151.8,7.13,24.8,7.19,87.5,,,,,
04/04/2024,04:30:00 PM,Fisk,,,153.3,7.05,25.2,7.09,86,,,,,
04/05/2024,02:10:00 PM,Fisk,,,153.8,7.05,24.7,7.51,91.6,,,,,
04/08/2024,01:30:00 PM,Fisk,48.5,109,150,6.88,25.8,6.67,82.4,8.44,0.253,55.8,11.8,10.6
04/11/2024,01:00:00 PM,Fisk,32.94,108,150.3,6.88,25.8,6.95,85.6,,0.55,55.8,11.1,10.4
04/23/2024,01:30:00 PM,Fisk,,,146.2,6.7,25.2,6.78,82.7,,,,,
05/10/2024,03:40:00 PM,Fisk,,,143.6,6.64,25.2,6.8,82,,,,,
05/13/2024,08:50:00 AM,Fisk,,,145.6,6.61,25.5,7.19,87.3,,,,,
05/21/2024,11:40:00 AM,Fisk,,,146.7,6.46,25.9,6.99,85.1,,,,,
05/22/2024,10:30:00 AM,Fisk,31.84,105,150.2,6.96,25.8,7.13,86.5,6.77,0.589,60.9,15.4,12.1
05/27/2024,09:00:00 AM,Fisk,,,150.1,7.16,27.6,6.6,83,,,,,
05/27/2024,11:49:00 AM,Fisk,,,150.1,7.27,27.4,7.24,91,,,,,
05/27/2024,03:44:00 PM,Fisk,,,150.3,7.2,27.4,6.66,83.7,,,,,
05/30/2024,03:47:00 PM,Fisk,,,149.8,7.2,26.7,6.7,83.9,,,,,
06/07/2024,11:21:00 AM,Fisk,,,152.7,7.11,26.7,6.92,86.6,,,,,
06/19/2024,09:24:00 AM,Fisk,,,151.4,6.89,26.8,6.34,79.9,,,,,
06/24/2024,08:58:00 AM,Fisk,,,153.2,6.85,27,6.62,83,,,,,
06/25/2024,03:11:00 PM,Fisk,29.52,117,157.1,7.03,27,6.7,83.8,4.71,0.533,68.9,20,14.3
07/01/2024,11:21:00 AM,Fisk,,,161.5,7.05,25.3,6.95,85.7,,,,,
07/04/2024,11:26:00 AM,Fisk,,,154.3,6.94,24.1,6.77,81.5,,,,,
07/30/2024,01:42:00 PM,Fisk,,,156.2,6.62,24.6,7.26,87.4,,,,,
08/12/2024,01:01:00 PM,Fisk,,,161.5,6.71,24.8,7.01,85.1,,,,,
08/13/2024,10:40:00 AM,Fisk,,,162.2,6.78,24.1,7.62,90.6,,,,,
08/14/2024,09:28:00 AM,Fisk,,,162.9,7.14,24.1,7.28,86.2,,,,,
08/21/2024,01:52:00 PM,Fisk,35.5,120,162.8,7.01,24.4,7.29,88.1,,,,,
08/27/2024,02:00:00 PM,Fisk,,,163.6,6.9,24.1,7.3,87.1,,,,,
09/06/2024,02:05:00 PM,Fisk,,,162.9,6.65,24.3,7.44,87.8,,,,,
09/09/2024,,Fisk,,,163.3,7.07,25.18,8.45,104.9,,,,,
09/17/2024,01:15:00 PM,Fisk,,,157.3,6.99,23.65,7.49,87.6,,,,,
09/27/2024,01:28:00 PM,Fisk,,,153,6.82,23.4,7.08,86,,,,,
09/30/2024,08:48:00 AM,Fisk,,,157.6,6.93,23.8,7.09,82.8,,,,,
10/04/2024,01:48:00 PM,Fisk,,,157,7.03,21.81,7.52,85.8,,,,,
10/15/2024,11:21:00 AM,Fisk,,,155,6.83,22.35,7.65,87.9,,,,,
10/28/2024,10:00:00 AM,Fisk,,,147.1,6.93,,7.26,84.7,,,,,
11/05/2024,11:33:00 AM,Fisk,,,137,6.88,23,7.45,86.2,,,,,
11/12/2024,01:00:00 PM,Fisk,31.6,84.3,126.9,6.81,23.7,7.3,85.1,5.61,0.109,84.3,19,16.2
11/20/2024,10:30:00 AM,Fisk,,,116.7,6.84,22.6,7.31,87.2,,,,,
11/27/2024,04:10:00 PM,Fisk,,,115.2,6.55,24.4,6.88,83,,,,,
12/02/2024,11:30:00 AM,Fisk,,,120.9,6.48,23.9,7.2,86.4,,,,,
12/05/2024,01:45:00 PM,Fisk,,,121.8,6.83,22.9,7.85,90.9,,,,,
12/19/2024,01:35:00 PM,Fisk,33.18,53.9,107.5,6.67,22,7.56,90.4,14.3,0.353,,,
12/20/2024,12:33:00 PM,Fisk,,,107.2,6.68,22.9,,,,,,,
01/04/2025,01:53:00 PM,Fisk,,,93.2,6.64,21.9,7.72,89.4,,,,,
01/15/2025,09:37:00 AM,Fisk,,,87.1,6.83,22.3,7.97,90.8,,,,,
01/20/2025,08:32:00 AM,Fisk,,,86,7.06,22.8,7.64,88.3,,,,,
01/31/2025,10:11:00 AM,Fisk,,,80.2,6.86,22.5,7.87,90,,,,,
02/10/2025,09:20:00 AM,Fisk,,,76.7,6.63,22.6,8.3,93,,,,,
02/24/2025,02:00:00 PM,Fisk,,,82.2,6.42,22.4,7.95,91.4,,,,,
03/07/2025,10:26:00 AM,Fisk,,,80,6.56,22.1,7.89,91.1,,,,,
03/10/2025,09:40:00 AM,Fisk,,,76.5,6.54,,8.3,,,,,,
03/19/2025,01:27:00 PM,Fisk,,,71.6,6.51,21.9,8.53,97.1,,,,,
03/26/2025,11:15:00 AM,Fisk,,,67.4,6.55,22.5,8.66,"100,1 ?",,,,,
03/28/2025,09:57:00 AM,Fisk,,,56.3,7.05,22.5,8.74,"101,8?",,,,,
04/10/2025,01:36:00 PM,Fisk,,,57.6,6.93,22.6,8.37,97,,,,,
04/24/2025,01:51:00 PM,Fisk,,,49.8,7.07,23.02,8.15,95,,,,,
05/02/2025,10:17:00 AM,Fisk,,,47.9,6.99,23,8.04,95,,,,,
05/09/2025,03:40:00 PM,Fisk,,,48,6.96,22.6,8.32,95.7,,,,,
05/14/2025,10:00:00 AM,Fisk,19.032,8.17,47.8,6.79,23.1,7.94,93,5.18,0.082,52.8,8.18,9.3
05/26/2025,03:16:00 PM,Fisk,,,60.5,6.79,24.5,7.55,91.2,,,,,
06/09/2025,03:35:00 PM,Fisk,,,55,6.84,24.2,7.63,91.5,,,,,
06/17/2025,10:34:00 AM,Fisk,,,51.9,6.87,25.2,7.51,91.3,,,,,
07/02/2025,02:10:00 PM,Fisk,,,62.3,5.88,24.3,7.82,93.7,,,,,
07/03/2025,01:53:00 PM,Fisk,,,65.7,6.75,25.8,7.34,91.2,,,,,
07/08/2025,01:27:00 PM,Fisk,,,64.3,6.71,25.9,7.35,91.3,,,,,
07/15/2025,01:46:00 PM,Fisk,,,61.7,6.74,26.6,7.33,91.4,,,,,
07/22/2025,08.33,Fisk,,,66,6.08,27.3,7.11,90.3,,,,,
07/23/2025,11:00:00 AM,Fisk,,,67.6,6.61,27.7,6.98,89.2,,,,,
07/24/2025,09:00:00 AM,Fisk,,,67.6,6.62,27.4,7.02,89.1,,,,,
07/24/2025,16.00,Fisk,,,69,6.87,27.4,,,,,,,
07/29/2025,08.30,Fisk,,,69,6.85,27.4,7.18,92.2,,,,,
07/31/2025,08.34,Fisk,,,67.9,6.83,26.53,-,-,,,,,
08/04/2025,04:32:00 PM,Fisk,,,69.6,6.81,26.6,7.5,94,,,,,
08/13/2025,01:00:00 PM,Fisk,,,84.3,4.58,25.1,7.7,93,,,,,
